Date,Open,High,Low,Close,Adj Close,Volume
2020-02-19,1.500000,1.510000,1.481000,1.507000,1.507000,10700
2020-02-20,1.510000,1.820000,1.510000,1.670000,1.670000,69400
2020-02-21,1.620000,1.700000,1.500000,1.559000,1.559000,17100
2020-02-24,1.490000,1.543000,1.339000,1.460000,1.460000,16400
2020-02-25,1.380000,1.520000,1.330000,1.503000,1.503000,12500
2020-02-26,1.490000,1.493000,1.370000,1.400000,1.400000,3100
2020-02-27,1.360000,1.490000,1.360000,1.425000,1.425000,3600
2020-02-28,1.540000,1.540000,1.250000,1.250000,1.250000,11200
2020-03-02,1.345000,1.345000,1.230000,1.230000,1.230000,2700
2020-03-03,1.320000,1.350000,1.110000,1.150000,1.150000,8600
2020-03-04,1.180000,1.300000,1.150000,1.300000,1.300000,4700
2020-03-05,1.200000,1.270000,1.120000,1.158000,1.158000,6300
2020-03-06,1.250000,1.250000,1.065000,1.110000,1.110000,4600
2020-03-09,1.100000,1.110000,1.000000,1.000000,1.000000,1600
2020-03-10,1.010000,1.010000,0.990000,1.000000,1.000000,2800
2020-03-11,1.170000,1.170000,1.020000,1.130000,1.130000,3600
2020-03-12,1.100000,1.170000,1.020000,1.050000,1.050000,12000
2020-03-13,1.050000,1.070000,1.030000,1.030000,1.030000,11000
2020-03-16,0.900000,0.950000,0.808000,0.861000,0.861000,5100
2020-03-17,0.861000,1.073000,0.800000,1.073000,1.073000,5300
2020-03-18,1.070000,1.070000,0.800000,0.840000,0.840000,3500
2020-03-19,0.900000,0.910000,0.860000,0.905000,0.905000,4600
2020-03-20,0.862000,1.030000,0.860000,0.860000,0.860000,2100
2020-03-23,0.860000,0.980000,0.750000,0.980000,0.980000,5600
2020-03-24,0.980000,1.028000,0.862000,0.862000,0.862000,7300
2020-03-25,0.949000,1.020000,0.949000,1.020000,1.020000,2000
2020-03-26,1.130000,1.150000,1.050000,1.057000,1.057000,4600
2020-03-27,1.060000,1.060000,1.060000,1.060000,1.060000,300
2020-03-30,1.040000,1.169000,1.040000,1.070000,1.070000,16800
2020-03-31,1.160000,1.285000,1.130000,1.150000,1.150000,16600
2020-04-01,1.280000,1.280000,1.190000,1.200000,1.200000,4700
2020-04-02,1.290000,1.800000,1.290000,1.560000,1.560000,143600
2020-04-03,1.500000,1.960000,1.480000,1.960000,1.960000,181600
2020-04-06,1.900000,2.080000,1.690000,1.920000,1.920000,85300
2020-04-07,1.880000,2.090000,1.690000,1.700000,1.700000,56800
2020-04-08,1.890000,2.037000,1.890000,1.990000,1.990000,27500
2020-04-09,2.070000,2.200000,1.900000,2.080000,2.080000,74300
2020-04-13,2.000000,2.070000,1.933000,1.985000,1.985000,15300
2020-04-14,1.990000,2.305000,1.990000,2.160000,2.160000,58500
2020-04-15,2.200000,2.260000,2.060000,2.216000,2.216000,34900
2020-04-16,2.100000,2.200000,2.060000,2.110000,2.110000,11300
2020-04-17,2.100000,2.200000,2.050000,2.160000,2.160000,34000
2020-04-20,null,null,null,null,null,null
2020-04-21,null,null,null,null,null,null
2020-04-22,null,null,null,null,null,null
2020-04-23,null,null,null,null,null,null
2020-04-24,null,null,null,null,null,null
2020-04-27,null,null,null,null,null,null
2020-04-28,null,null,null,null,null,null
2020-04-29,null,null,null,null,null,null
2020-04-30,1.970000,1.990000,1.810000,1.950000,1.950000,25200
2020-05-01,null,null,null,null,null,null
2020-05-04,null,null,null,null,null,null
2020-05-05,null,null,null,null,null,null
2020-05-06,null,null,null,null,null,null
2020-05-07,null,null,null,null,null,null
2020-05-08,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-18,1.867000,1.990000,1.867000,1.990000,1.990000,10000
2020-05-19,1.910000,2.350000,1.810000,2.180000,2.180000,34900
2020-05-20,2.030000,2.250000,1.820000,2.050000,2.050000,90900
2020-05-21,2.000000,2.170000,1.900000,1.920000,1.920000,7300
2020-05-22,1.800000,2.040000,1.800000,2.040000,2.040000,1300
2020-05-26,2.040000,2.040000,2.020000,2.030000,2.030000,2200
2020-05-27,2.000000,2.050000,1.820000,2.050000,2.050000,6200
2020-05-28,1.990000,2.050000,1.860000,2.030000,2.030000,5200
2020-05-29,2.010000,2.190000,2.010000,2.170000,2.170000,27000
2020-06-01,2.000000,2.200000,1.990000,2.080000,2.080000,27300
2020-06-02,2.060000,2.280000,2.060000,2.170000,2.170000,113700
